😀	content | dents | grand sourire | heureux | joyeux | rire | sourire | super | visage | visage rieur | visage très souriant | émoticône
😃	content | dents | formidable | grand sourire | heureux | sourire | super | visage souriant avec de grands yeux | visage très souriant avec la bouche ouverte | émoticône
😄	content | grand sourire | heureux | joyeux | lol | mdr | rire | sourire | sourire mignon | visage avec la bouche ouverte et les yeux souriants | visage très souriant aux yeux rieurs | émoticône
😁	content | dents | grand sourire | heureux | sourire | sourire de toutes ses dents | super | visage | visage souriant aux yeux rieurs | visage souriant avec yeux souriants | yeux souriants | émoticône
😆	ahah | bouche | content | lol | mdr | rire | sourire | visage | visage souriant avec bouche ouverte et yeux fermés | visage souriant avec yeux plissés | émoticône
😅	excité | froid | goutte | sourire | sourire nerveux | stressé | sueur | sueurs froides | visage souriant avec une goutte de sueur | émoticône
🤣	content | drôle | hilare | joyeux | larmes | lol | mdr | pleurer de rire | rire | rire aux larmes | se rouler par terre | se rouler par terre de rire | se tordre de rire | visage | visage qui rit aux larmes | émoticône
😂	content | heureux | joie | larmes | lol | mdr | pleurer de joie | pleurer de rire | rire aux larmes | sourire | visage riant aux larmes | émoticône
🙂	content | heureux | léger sourire | sourire | visage avec un léger sourire | visage souriant | émoticône
🙃	incroyable | renversée | tête | tête à l’envers | visage | émoticône
🫠	disparaître | fondre | gêne | liquide | liquéfié | sarcasme | se dissoudre | visage qui fond
😉	blague | clin d’œil | flirter | plaisanter | sexy | visage | visage faisant un clin d’œil | émoticône
😊	content | heureux | rougir | satisfait | sourire | visage | visage qui rougit | visage souriant avec yeux rieurs | visage souriant avec yeux souriants | yeux | émoticône | œil
😇	Bible | ange | angélique | auréole | béni | heureux | innocent | paix | sourire | spirituel | visage souriant avec auréole | émoticône
🥰	Je t’aime | adorer | aimer | amour | béguin | coeur | cœurs | j’adore | smiley avec 3 coeurs | sourire | visage souriant avec cœurs
😍	amour | amoureux | cœur | romantique | sourire | visage | visage souriant avec yeux en forme de cœur | yeux | émoticône | œil
🤩	grand sourire | heureux | pressé | surexcité | tête avec étoiles | visage | visage avec des étoiles à la place des yeux | wow | yeux | étoile | étoiles dans les yeux
😘	amour | baiser | bise | bisou et cœur | bonjour | bonne nuit | cœur | embrasser | je t’aime | visage envoyant un bisou | visage qui fait une bise avec un cœur | émoticône
😗	amour | baiser | bise | bisou | embrasser | je t’aime | petit bisou | visage faisant un bisou | visage qui fait une bise | émoticône
☺️	content | décontracté | détendu | heureux | sourire | visage souriant | visage souriant avec les yeux fermés | émoticône
😚	baiser | bise | bisou | bisou les yeux fermés | embrasser | rougir | visage faisant un bisou avec les yeux fermés | visage qui fait une bise avec les yeux fermés | visage rougissant | yeux fermés | émoticône
😙	amour | baiser | bise | bisou | embrasser | gros bisou | je t’aime | sourire | visage aux yeux rieurs faisant un bisou | visage aux yeux souriants qui fait une bise | yeux fermés | émoticône
🥲	fier | heureux | larme | reconnaissant | smiley | soulagé | souriant | touché | visage souriant avec une larme | ému
😋	bon | content | délicieux | faim | heureux | langue | manger | miam | savourer | sourire | visage souriant qui tire la langue | émoticône
😛	cool | génial | langue | super | visage | visage qui tire la langue | émoticône
😜	amusant | blague | clin d’œil | fou | langue | loufoque | marrant | rigolo | visage | visage qui tire la langue et fait un clin d’œil | émoticône | œil
🤪	grand | large | oeil | petit | tête de fou | tête folle | yeux | yeux fous | œil
😝	dégoûtant | goût | horrible | langue | omd | on ne vit qu’une fois | peu importe | visage qui tire la langue et ferme les yeux | visage qui tire la langue les yeux plissés | yeux fermés | émoticône | œil
🤑	argent | argent dans les yeux et la bouche | bouche | dollars | yeux | émoticône
🤗	câlin | gentil | mains | visage | visage qui fait un câlin | émoticône
🤭	malin | oops | oups | rigole | secret | surprise | visage avec main devant la bouche | visage avec une main sur la bouche
🫢	choqué | embarrassé | gêné | impressionné | stupéfait | surpris | visage avec yeux ouverts et main sur la bouche | étonné
🫣	captivé | effrayé | fasciné | jeter un coup d’œil | regarder fixement | se cacher | timide | visage qui regarde entre ses doigts
🤫	chut | pas un bruit | silence | tête qui dit chut | visage avec un doigt sur la bouche
🤔	hum | méditer | penser | réflexion | réfléchir | visage | visage en pleine réflexion | émoticône
🫡	OK | armée | bonne chance | compris | oui | respect | salut | visage qui fait un salut militaire
🤐	bouche | bouche cousue | fermeture éclair | motus | se taire | secret | visage | visage avec bouche cousue | visage avec bouche fermeture éclair | émoticône
🤨	euh | hein | incrédule | méfiant | pas vrai | quoi | sceptique | surprise | tête avec sourcil levé | visage avec les sourcils relevés
😐	gêné | neutre | ni chaud ni froid | pas drôle | peu importe | rester de marbre | sans commentaires | sans rire | visage neutre | visage sans expression | émoticône
😑	inexpressif | mécontent | neutre | peu importe | sans expression | visage | visage sans expression | émoticône
😶	muet | ne rien dire | neutre | sans commentaires | sans expression | sans voix | se taire | secret | silence | sourdine | visage sans bouche | émoticône
🫥	disparaître | déprimé | introverti | invisible | se cacher | visage en pointillés
😶‍🌫️	brouillard | dans les nuages | distrait | visage dans le brouillard | visage dans les nuages
😏	arrogant | charmeur | malin | ricaner | rusé | sourire | sourire suffisant | suspicieux | séducteur | visage avec un sourire malin | visage avec un sourire suffisant | émoticône
😒	bizarre | blasé | fâché | jaloux | pas content | peu importe | visage | visage blasé | visage qui s’ennuie | émoticône | énervé
🙄	agacé | excédé | incrédulité | roulement | visage qui lève les yeux au ciel | visage qui roule des yeux | visage roulant des yeux | yeux | émoticône
😬	dents | grimace | gêné | rien | sourire | visage | visage grimaçant | émoticône
😮‍💨	chuchoter | découragé | déçu | expiration | exténué | fatigué | siffler | souffler | soulagement | soupir | sursaut | visage expirant
🤥	mensonge | menteur | pinocchio | visage | visage de menteur | visage dont le nez s’allonge | émoticône
🫨	choc | fou | omg | ouah | panique | secoué | surprenant | tremblement | tremblement de terre | vibration | visage secoué | étourdi
🙂‍↔️	non | secouer | tête secouée horizontalement
🙂‍↕️	hochement de tête | oui | tête secouée verticalement
😌	calme | soulagement | sérénité | visage | visage soulagé | zen | émoticône
😔	abattu | déçu | horrible | mort | pensif | perdu | triste | visage | visage pensif | émoticône
😪	fatigué | larme | pleurer | sommeil | triste | visage | visage endormi | émoticône
🤤	baver | délicieux | mmh | visage | visage qui bave | émoticône
😴	bonne nuit | coucher | dormir | endormi | fatigué | sieste | sommeil | visage | visage somnolent | zzz | émoticône
🫩	ensommeilé | fatigué | sommeil | visage avec des valises sous les yeux | épuisé
😷	bactéries | dentiste | docteur | germes | malade | masque | masque chirurgical | médecin | rhume | visage avec masque | émoticône
🤒	indisposé | malade | thermomètre | visage | visage avec thermomètre
🤕	aïe | bandage | blessure | bobo | pansement | tête | tête avec un bandage | visage | visage avec bandage autour de la tête | émoticône
🤢	dégoûtant | malade | nausée | visage | visage nauséeux | visage vert qui a la nausée | vomir | écœuré | émoticône
🤮	gerbe | gerber | malade | tête qui vomit | visage qui vomit | vomi | vomissure
🤧	atchoum | fièvre | grippe | malade | mouchoir | rhume | se moucher | visage qui éternue | à tes souhaits | émoticône | éternuement | éternuer
🥵	chaleur | chaud | coup de chaleur | coup de chaud | fièvre | sue | suer | toute rouge | transpiration | trop chaud | visage rouge et chaud | visage tout rouge
